"KIDSDRIV.PLCYDATE.CAR_USE.POLICYNO.BLUEBOOK.RETAINED.NPOLICY.CAR_TYPE.RED_CAR.OLDCLAIM.CLM_FREQ.REVOKED.MVR_PTS.CLM_AMT.CLM_DATE.CLM_FLAG.AGE.AGE.GENDER.HOMEKIDS.YOJ.INCOME.GENDER.MARRIED.PARENT1.JOBCLASS.MAX_EDUC.HOME_VAL.SAMEHOME.DENSITY"
"0,17,Private,36292520,$9860 ,6,2,Pickup,1,$0 ,0,No,0,$3336 ,11novembre96,Yes,3,41-60M,0,13,,1,Yes,No,Clerical,<High School,$123721 ,7,4"
"0,18,Private,31958061,$1500 ,4,2,Sedan,1,$0 ,0,No,4,$5583 ,05septembre93,Yes,2,25-40M,2,12,$4457 ,1,No,Yes,Student,High School,$0 ,1,3"
"0,47,Commercial,42433312,$30460 ,4,1,Panel Truck,1,$5705 ,2,No,0,$39104 ,28février95,Yes,3,41-60M,0,13,$102904 ,1,No,No,,Masters,$0 ,18,3"
"0,31,Private,49896544,$16580 ,4,2,SUV,0,$0 ,0,No,0,$0 ,,No,3,41-60F,3,14,$14554 ,0,Yes,No,Student,High School,$0 ,8,2"
"0,14,Commercial,79298192,$23030 ,4,1,Pickup,0,$6980 ,2,No,2,$0 ,,No,3,41-60F,0,13,$99493 ,0,Yes,No,Blue Collar,High School,$288808 ,1,3"
"0,46,Private,43393435,$20730 ,9,1,SUV,0,$0 ,0,No,0,$0 ,,No,2,25-40F,0,10,$95197 ,0,Yes,No,Manager,Bachelors,$281124 ,11,3"
"1,9,Commercial,24163158,$27420 ,10,1,Van,0,$0 ,0,No,8,$5342 ,05octobre94,Yes,3,41-60F,1,7,$102339 ,0,No,Yes,,PhD,$0 ,11,4"
"0,6,Private,3590540,$24360 ,6,3,Sedan,0,$0 ,0,No,0,$0 ,,No,3,41-60F,0,11,$142297 ,0,No,No,Lawyer,PhD,$0 ,,4"
"0,6,Commercial,83424321,$36460 ,1,3,Pickup,0,$4289 ,2,No,0,$0 ,,No,3,41-60F,0,11,$142297 ,0,No,No,,PhD,$0 ,,4"
"0,6,Private,97035596,$20030 ,4,3,SUV,0,$0 ,0,No,2,$0 ,,No,3,41-60F,0,11,$142297 ,0,No,No,,PhD,$0 ,,4"
"0,25,Private,39800794,$7520 ,1,2,Sports Car,0,$1101 ,1,No,0,$0 ,,No,3,41-60F,2,13,$7313 ,0,Yes,No,Home Maker,Bachelors,$94969 ,9,3"
"0,25,Private,70616796,$14300 ,17,2,SUV,0,$27090 ,1,No,5,$0 ,,No,3,41-60F,2,13,$7313 ,0,Yes,No,Home Maker,Bachelors,$94969 ,9,3"
"0,26,Commercial,4388414,$11050 ,6,2,Pickup,0,$41833 ,3,Yes,5,$0 ,,No,3,41-60M,0,,$37528 ,1,Yes,No,,Masters,$185996 ,,4"
"0,28,Private,26783276,$3770 ,1,2,Sedan,0,$5581 ,3,No,2,$9117 ,01janvier98,Yes,2,25-40M,1,11,$27957 ,1,No,Yes,Clerical,High School,$0 ,10,1"
"0,43,Private,30576473,$15240 ,13,1,Sedan,0,$0 ,0,No,2,$0 ,,No,2,25-40M,0,9,$23864 ,1,No,No,Clerical,<High School,$0 ,1,1"
"0,17,Private,81242865,$11560 ,4,1,SUV,0,$0 ,0,No,1,$0 ,,No,3,41-60F,0,12,$58714 ,0,Yes,No,Manager,Bachelors,$220686 ,10,3"
"0,43,Commercial,15272807,$13950 ,4,2,SUV,0,$0 ,0,No,1,$0 ,,No,2,25-40F,0,12,$73664 ,0,No,No,Blue Collar,Bachelors,$0 ,13,1"
"0,43,Commercial,17222568,$15110 ,13,2,SUV,0,$0 ,0,No,2,$0 ,,No,2,25-40F,0,12,$73664 ,0,No,No,Blue Collar,Bachelors,$0 ,13,1"
"0,10,Commercial,45554152,$43590 ,1,1,Sedan,0,$0 ,0,No,1,$0 ,,No,4,>60F,0,12,$83827 ,0,Yes,No,Blue Collar,Bachelors,$275725 ,8,3"
"0,5,Private,8375768,$15140 ,22,1,SUV,0,$8431 ,1,No,4,$0 ,,No,2,25-40F,0,10,$31869 ,0,No,No,Clerical,High School,$0 ,7,3"
"0,31,Private,47194110,$26200 ,1,1,Pickup,0,$0 ,0,No,0,$0 ,,No,3,41-60F,0,16,$148193 ,0,Yes,No,Professional,Bachelors,$436694 ,16,3"
"0,45,Commercial,19922522,$9170 ,11,3,SUV,0,$1881 ,1,No,8,$4127 ,10mars98,Yes,2,25-40F,2,14,$29250 ,0,Yes,No,Blue Collar,High School,$159239 ,7,4"
"0,45,Commercial,31129320,$23380 ,1,3,Pickup,0,$0 ,0,No,1,$0 ,,No,2,25-40F,2,14,$29250 ,0,Yes,No,Blue Collar,High School,$159239 ,7,4"
"0,22,Private,15868020,$11390 ,11,3,Pickup,0,$0 ,0,No,0,$0 ,,No,3,41-60M,0,14,$15989 ,1,Yes,No,Clerical,<High School,$117038 ,5,3"
"0,22,Private,21319828,$20000 ,14,3,Van,0,$0 ,0,Yes,0,$0 ,,No,3,41-60M,0,14,$15989 ,1,Yes,No,Clerical,<High School,$117038 ,5,3"
"0,22,Private,62120411,$15330 ,4,3,Sedan,0,$0 ,0,No,0,$0 ,,No,3,41-60M,0,14,,1,Yes,No,Clerical,<High School,$117038 ,5,3"
"0,5,Private,56306672,$20310 ,9,1,SUV,0,$6596 ,1,No,6,$0 ,,No,2,25-40F,4,12,$27666 ,0,Yes,No,Clerical,High School,$0 ,9,2"
"0,36,Private,98446959,$6770 ,4,1,SUV,0,$0 ,0,No,0,$0 ,,No,2,25-40F,4,4,$23652 ,0,No,Yes,Clerical,High School,$0 ,8,2"
"0,34,Commercial,45051866,$21830 ,3,3,Van,1,$8170 ,2,No,3,$0 ,,No,3,41-60M,0,11,$146882 ,1,No,No,Manager,PhD,$0 ,10,3"
"0,47,Commercial,49251325,$4200 ,1,4,Sports Car,0,$0 ,0,No,4,$4102 ,24juillet94,Yes,2,25-40F,3,13,$35851 ,0,Yes,No,Blue Collar,High School,$147018 ,1,4"
"0,51,Commercial,14442896,$6700 ,10,1,Pickup,1,$5984 ,2,No,6,$1070 ,10mai98,Yes,3,41-60M,0,13,$77351 ,1,Yes,No,,Masters,$187879 ,16,3"
"0,47,Private,96500231,$13030 ,1,3,SUV,0,$2334 ,1,No,3,$14509 ,16septembre97,Yes,3,41-60F,0,0,$0 ,0,No,No,Home Maker,Masters,$109155 ,15,3"
